"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","max_depth","min_samples_split","n_estimators","r2_score","Model"
"2025-03-20 18:00:44","1.4s","5d8f745ef2cb4f64968f2777d265da75","nebulous-mare-537","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","None","2","","0.6638713445439911","dt"
"2025-03-20 18:00:42","1.3s","bfc1027460604bd6a4d686b0c2998593","sassy-hound-244","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","None","7","","0.7133040815911906","dt"
"2025-03-20 18:00:41","1.3s","3a88c8574498401c8aa1550197923cc2","carefree-cat-506","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","","","","0.7837669594012717","lr"
"2025-03-20 18:00:40","1.3s","7bb83c4b4d6f485d85819d2c4a56b3e2","zealous-mouse-372","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","","","","0.7837669594012717","lr"
"2025-03-20 18:00:38","1.2s","975e0a3f10f745d58333042d71658ba6","awesome-foal-536","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","","","","0.7837669594012717","lr"
"2025-03-20 18:00:37","1.3s","e0301f45007d40ea9872bb2e032fbe39","gaudy-pug-926","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","12","3","","0.7127859503821071","dt"
"2025-03-20 18:00:36","1.2s","d6cd3b91bb8a4ce1b6366a520fb55bfb","puzzled-pig-790","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","","","","0.7837669594012717","lr"
"2025-03-20 18:00:35","1.2s","a73754cadcb14265b997d85bdfd6a6cd","receptive-sheep-9","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","","","","0.7837669594012717","lr"
"2025-03-20 18:00:33","1.3s","42e2226ac88340959bc2ac9408c5e47c","trusting-cub-723","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","None","6","","0.7028567813999045","dt"
"2025-03-20 18:00:32","1.3s","b7e2fcfe38de45778cdac5a6d0a5e9b8","skittish-ram-778","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","None","3","","0.6526979141075948","dt"
"2025-03-20 18:00:31","1.6s","08a8ea712bce44279eac1af032de46df","charming-hog-964","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","13","6","216","0.8151236996497364","rf"
"2025-03-20 18:00:29","1.5s","3bbe451abacc431b8fcc83548d2671ad","useful-bear-290","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","13","4","80","0.8125034969247618","rf"
"2025-03-20 18:00:27","2.0s","2a9bc789eb2c412b9bdf6084f2595cf3","brawny-bat-440","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","17","4","392","0.8107888351860528","rf"
"2025-03-20 18:00:26","1.3s","1fafda45fb8f408ebc64a2c33efc8044","unruly-skunk-209","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","","","","0.7837669594012717","lr"
"2025-03-20 18:00:25","1.3s","dcc8a34309f04f0eacaa83ce8d90622c","sincere-flea-609","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","None","8","","0.7131302058082268","dt"
"2025-03-20 18:00:23","1.4s","8c91aa48caa846128ac22eeb7e6275f5","sneaky-boar-1000","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","19","5","105","0.8134436763348531","rf"
"2025-03-20 18:00:22","1.6s","d9841310e8014e40ad51130bc465ddd4","traveling-wasp-765","LOCAL","/Users/eunicetu/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py","eunicetu","FINISHED","","","","0.7837669594012717","lr"
