Price,Manufacturing_year,Engine capacity,KM driven,Ownership,Imperfections,Repainted Parts,Spare key_Yes,Transmission_Manual,Fuel type_Diesel,Fuel type_Petrol
415000,2018,998,99649,1,2,5,True,True,False,True
375000,2015,998,29956,1,15,1,False,True,False,True
422000,2018,998,64157,1,10,4,False,False,False,True
504000,2019,1197,52608,2,0,0,True,True,False,True
698000,2019,1197,24499,1,10,2,True,True,False,True
460000,2019,998,69332,1,15,2,False,True,False,True
513000,2016,1197,97531,1,13,10,False,True,False,True
665000,2019,1197,58448,1,4,8,True,True,False,True
345000,2017,998,67823,2,3,3,True,False,False,True
349000,2015,998,34292,2,16,5,True,True,False,True
649000,2019,1197,88651,1,3,4,True,True,False,True
445000,2018,998,68971,2,17,3,False,False,False,True
608000,2023,1197,35595,1,6,3,True,True,False,True
538000,2017,1197,39347,1,5,4,True,False,False,True
568000,2017,1373,105815,2,15,4,True,True,False,True
484000,2017,1197,63716,1,5,0,True,True,False,True
369000,2019,998,39091,1,22,3,True,True,False,True
373000,2016,998,77225,1,19,2,True,True,False,True
996000,2022,1462,23327,1,2,0,False,True,False,True
492000,2022,998,44382,2,3,1,True,True,False,True
408000,2017,998,66341,1,1,3,True,True,False,True
757000,2018,1373,88132,1,5,5,True,False,False,True
465000,2019,998,95456,1,14,0,True,False,False,True
439000,2021,998,26875,2,4,8,False,True,False,True
549000,2020,1197,50380,2,3,0,True,False,False,True
634000,2023,998,17447,1,1,0,True,False,False,True
358000,2020,796,30292,1,24,4,False,True,False,True
449000,2017,998,53241,1,2,2,True,False,False,True
600000,2021,998,24059,1,1,2,False,False,False,True
486000,2020,998,80265,1,2,1,True,True,False,False
414000,2017,998,51182,2,8,4,True,True,False,True
604000,2022,1197,22594,1,3,2,True,True,False,True
392000,2021,796,24463,1,15,7,True,True,False,True
380000,2021,796,26792,1,4,0,True,True,False,True
372000,2016,998,82834,1,12,8,True,False,False,True
436000,2021,998,46355,1,10,1,False,True,False,True
288000,2013,998,51088,2,0,0,False,True,False,True
826000,2022,1197,49533,1,6,4,False,True,False,True
677000,2019,1197,36262,1,12,5,False,True,False,True
331000,2014,998,69455,1,20,3,True,True,False,True
515000,2020,1197,48833,1,9,3,True,True,False,True
568000,2020,1197,26074,1,1,0,True,False,False,True
483000,2019,998,87744,1,6,0,False,False,False,True
376000,2014,998,98335,1,0,0,True,False,False,True
410000,2018,998,76210,1,3,1,True,True,False,True
414000,2017,998,77481,2,12,4,True,False,False,True
307000,2014,998,83098,2,23,2,False,True,False,True
413000,2017,998,81204,1,14,5,True,True,False,True
329000,2015,998,97385,2,8,3,False,True,False,True
517000,2018,1197,33509,1,12,1,True,False,False,True
511000,2019,1197,49347,1,1,1,True,True,False,True
620000,2022,1197,9301,1,0,0,False,False,False,True
600000,2021,1197,37541,1,8,8,False,False,False,True
540000,2020,1197,52823,1,13,6,True,True,False,True
490000,2022,998,35049,1,0,0,True,True,False,True
743000,2020,1462,61765,2,7,1,True,True,False,True
458000,2019,1197,72496,2,9,6,False,True,False,True
308000,2014,998,98723,2,12,5,True,True,False,True
527000,2021,998,40215,1,3,0,True,True,False,True
402000,2022,796,26385,1,2,2,True,True,False,True
418000,2018,998,99726,1,13,5,False,False,False,True
961000,2021,1462,57002,1,6,3,False,False,False,True
278000,2017,796,63989,2,14,5,True,True,False,True
547000,2016,1197,93648,3,8,0,True,True,False,True
338000,2014,998,76186,1,9,8,True,True,False,True
312000,2012,998,76750,1,9,8,False,True,False,True
763000,2018,1462,50723,2,6,3,True,False,False,True
537000,2018,1197,78023,1,5,2,True,True,False,True
530000,2018,1197,52856,2,7,1,True,True,False,True
497000,2016,1197,48242,2,8,3,True,True,False,True
726000,2021,1197,46568,1,4,3,True,True,False,True
612000,2019,1197,90696,1,18,1,True,False,False,True
177000,2011,998,81585,2,2,13,True,True,False,True
619000,2018,1197,49070,1,5,2,True,False,False,True
707000,2022,1197,35844,1,5,1,True,True,False,True
653000,2019,1197,41666,1,6,3,False,False,False,True
366000,2013,1248,82552,1,10,3,True,True,True,False
240000,2017,796,96161,2,0,0,False,True,False,True
989000,2021,1462,68282,1,0,0,False,False,False,True
1102000,2022,1462,24794,1,3,1,True,False,False,True
409000,2017,1197,98274,2,0,0,False,True,False,True
295000,2017,796,47179,1,7,2,True,True,False,True
373000,2021,796,24381,2,6,3,True,True,False,True
739000,2020,1197,47699,1,10,5,True,False,False,True
358000,2021,796,45381,1,7,3,True,True,False,True
281000,2017,796,66467,2,17,6,True,True,False,True
514000,2018,1197,77148,1,5,3,True,True,False,True
575000,2021,1197,29057,1,7,5,False,True,False,True
403000,2022,998,22864,1,2,0,True,True,False,True
751000,2016,1248,76173,1,6,0,True,True,True,False
